"Environment and Climate Change Canada"
"Monthly Values for April - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","9.9","0",NA,"23.0","0","2.0","0","0.0","0",NA,"152.1","0",NA,"0.0","14","","",NA,"242.7","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","7.7","15","-0.8","28.0","10","-3.0","10","0.0","27",NA,"205.6","15",NA,"","14","","",NA,"153.9","0.0","1012055"
"GALIANO NORTH","48.985","-123.573","BC","9.9","2",NA,"24.5","2","2.0","2","0.0","2",NA,"104.8","2",NA,"0.0","15","","",NA,"226.6","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","8.2","0",NA,"22.9","0","0.7","0","",,NA,"125.0","0",NA,"","17","",,NA,"294.2","0.4","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","7",NA,"103.4","7",NA,"0.0","11","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","120.6","0","175.0","0.0","17","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","9.3","1",NA,"26.1","1","-1.5","0","",,NA,"7.5","19",NA,"","2","",,NA,"252.7","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","10.0","0",NA,"25.0","0","3.0","0","0.0","0",NA,"88.8","0",NA,"0.0","13","","",NA,"239.6","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","9.5","0",NA,"20.7","0","3.6","0","",,NA,"",,NA,"","","",,NA,"253.8","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","8.8","14","-0.4","15.0","12","2.0","11","0.0","12",NA,"67.6","12",NA,"","11","","",NA,"147.0","0.0","1016940"
